Tweet,Sentiment
@GeeWillis1967 Says it all really,neutral
"#KGF @TheNameisYash

Design by @Shiva4Ntr https://t.co/Ba3nxGFRwB",neutral
"@Shiva4Ntr @TheNameIsYash @YashTrends @SandalwoodLoka @YashFollowers Super edit Bro
 #Yash #kgfighters #KGF #kgfchapter1 #KGF2 #KGFChapter2",positive
@NamitaThe @MrVain15 @Bengaluru2050 Bangalore was developed long years ago.. it's the place which got first electri https://t.co/0enLQy8YRF,neutral
"#Rangasthalam - Shesh naidu fight,

#SyeRaa - Climax fight,

#KGF - Hammer fight. https://t.co/MwCyKBjReV",neutral
"#4DaystoTerminator 

#KGF Tamil fame Ashok is onboard as the dialog writer for the Tamil version of https://t.co/b2wstSZIqD",neutral
"Who is your favorite ?
.

#Prabhas #AlluArujun #JrNTR #KGF #Sahoo #RRR https://t.co/0WuXAZ2ZIS",neutral
Brand since 2018 #kgf https://t.co/YA2FC8rHPP,neutral
@EL_Dorado_KGF @Innocent_Soul23 We srkian love kgf and waiting for kgf2 maybe this is fake account,negative
"#KGF is next level 
Will be watching #Khaidhi tomorrow!
Let's see!! :) https://t.co/BcuvGFQEtw",positive
